cycle,sex_ratio
9491,0.525253
9501,0.466667
9511,0.460784
9521,0.513274
9531,0.568627
9541,0.505376
9551,0.561905
9561,0.594059
9571,0.465347
9581,0.376238
9591,0.445545
9601,0.509804
9611,0.49
9621,0.456522
9631,0.597938
9641,0.485714
9651,0.43
9661,0.427273
9671,0.489796
9681,0.534653
9691,0.460784
9701,0.543478
9711,0.495238
9721,0.519608
9731,0.528846
9741,0.544444
9751,0.51
9761,0.428571
9771,0.52381
9781,0.489583
9791,0.520408
9801,0.5
9811,0.4
9821,0.451613
9831,0.524272
9841,0.568421
9851,0.479592
9861,0.534091
9871,0.519608
9881,0.553191
9891,0.526882
9901,0.575758
9911,0.504854
9921,0.524752
9931,0.515789
9941,0.46729
9951,0.477778
9961,0.533981
9971,0.508929
9981,0.40566
9991,0.495413
